center_x,center_y,radius
173,403,95
250,137,21
712,331,21
646,346,28
115,660,87
520,703,28
243,210,28
731,803,100
604,1303,89
440,332,35
534,351,28
934,346,26
314,215,28
201,143,21
246,253,31
390,459,68
818,346,26
228,803,87
646,712,12
